time_s,nominal_input_flux,stored_energy_state,oscillator_displacement,release_velocity_state,wall_heat_flux_proxy,acoustic_power_proxy
19.66,1.0,1.7981298110903245,-0.0037403778193509135,-0.008286115805129305,0.9997373381737329,0.0
19.68,1.0,1.7980470652438456,-0.00390586951230898,-0.008274584647903337,0.9997374545656986,0.0
19.7,1.0,1.7979644402338355,-0.004071119532329232,-0.00826250100101256,0.9997375892329998,0.0
19.72,1.0,1.7978819415777878,-0.004236116844424463,-0.008249865604761585,0.9997377422018442,0.0
19.740000000000002,1.0,1.797799574785426,-0.00440085042914793,-0.00823667923617334,0.9997379134971683,0.0
19.76,1.0,1.7977173453583366,-0.004565309283326767,-0.008222942708941835,0.9997381031426338,0.0
19.78,1.0,1.7976352587896027,-0.004729482420794417,-0.00820865687338251,0.9997383111606226,0.0
19.8,1.0,1.797553320563439,-0.0048933588731220196,-0.008193822616380143,0.9997385375722344,0.0
19.82,1.0,1.7974715361548257,-0.005056927690348706,-0.008178440861334327,0.9997387823972819,0.0
19.84,1.0,1.7973899110291447,-0.0052201779417107574,-0.00816251256810254,0.9997390456542875,0.0
19.86,1.0,1.7973084506418153,-0.005383098716369573,-0.008146038732940775,0.99973932736048,0.0
19.88,1.0,1.7972271604379308,-0.005545679124138409,-0.008129020388441774,0.9997396275317908,0.0
19.900000000000002,1.0,1.7971460458518962,-0.005707908296207826,-0.008111458603470834,0.9997399461828509,0.0
19.92,1.0,1.7970651123070651,-0.00586977538586981,-0.008093354483099212,0.9997402833269871,0.0
19.94,1.0,1.7969843652153799,-0.006031269569240512,-0.008074709168535123,0.9997406389762195,0.0
19.96,1.0,1.7969038099770092,-0.006192380045981559,-0.00805552383705234,0.9997410131412577,0.0
19.98,1.0,1.7968234519799902,-0.006353096040019887,-0.0080357997019164,0.9997414058314985,0.0
20.0,1.0,1.796743296599867,-0.006513406800266055,-0.008015538012308409,0.9997418170550225,0.0
20.02,1.0,1.7966633491993345,-0.0066733016013309845,-0.007994740053246475,0.9997422468185916,0.0
20.04,1.0,1.7965836151278796,-0.006832769744241079,-0.007973407145504749,0.9997426951276458,0.0
20.06,1.0,1.796504099721424,-0.006991800557151681,-0.007951540645530093,0.9997431619863013,0.0
20.080000000000002,1.0,1.7964248083019707,-0.007150383396058809,-0.007929141945356375,0.9997436473973474,0.0
20.1,1.0,1.7963457461772454,-0.007308507645509137,-0.007906212472516404,0.9997441513622445,0.0
20.12,1.0,1.796266918640346,-0.007466162719308167,-0.007882753689951496,0.9997446738811212,0.0
20.14,1.0,1.7961883309693867,-0.007623338061226541,-0.007858767095918694,0.9997452149527726,0.0
20.16,1.0,1.7961099884271479,-0.007780023145704453,-0.00783425422389563,0.9997457745746577,0.0
20.18,1.0,1.796031896260723,-0.007936207478554114,-0.007809216642483052,0.9997463527428981,0.0
20.2,1.0,1.7959540597011698,-0.008091880597660214,-0.00778365595530501,0.999746949452275,0.0
20.22,1.0,1.795876483963161,-0.008247032073678348,-0.0077575738009067145,0.999747564696228,0.0
20.240000000000002,1.0,1.7957991742446344,-0.00840165151073135,-0.007730971852650067,0.9997481984668535,0.0
20.26,1.0,1.7957221357264483,-0.008555728547103486,-0.007703851818606878,0.9997488507549022,0.0
20.28,1.0,1.795645373572034,-0.008709252855932482,-0.007676215441449769,0.9997495215497784,0.0
20.3,1.0,1.7955688929270504,-0.008862214145899298,-0.007648064498340777,0.9997502108395383,0.0
20.32,1.0,1.7954926989190423,-0.009014602161915651,-0.007619400800817657,0.9997509186108882,0.0
20.34,1.0,1.7954167966570955,-0.009166406685809208,-0.007590226194677897,0.9997516448491838,0.0
20.36,1.0,1.795341191231497,-0.009317617537006417,-0.007560542559860453,0.9997523895384284,0.0
20.38,1.0,1.7952658877133936,-0.00946822457321292,-0.007530351810325206,0.9997531526612726,0.0
20.400000000000002,1.0,1.7951908911544543,-0.009618217691091524,-0.007499655893930154,0.9997539341990127,0.0
20.42,1.0,1.7951162065865311,-0.009767586826937652,-0.007468456792306347,0.9997547341315897,0.0
20.44,1.0,1.7950418390213239,-0.009916321957352264,-0.007436756520730568,0.9997555524375892,0.0
20.46,1.0,1.7949677934500439,-0.010064413099912179,-0.00740455712799577,0.9997563890942401,0.0
20.48,1.0,1.794894074843081,-0.010211850313837765,-0.007371860696279285,0.9997572440774143,0.0
20.5,1.0,1.794820688149671,-0.01035862370065794,-0.0073386693410087975,0.9997581173616261,0.0
20.52,1.0,1.7947476382975638,-0.010504723404872462,-0.007304985210726108,0.9997590089200318,0.0
20.54,1.0,1.7946749301926943,-0.010650139614611436,-0.007270810486948685,0.9997599187244294,0.0
20.56,1.0,1.794602568718854,-0.010794862562292016,-0.007236147384029018,0.9997608467452584,0.0
20.580000000000002,1.0,1.794530558737364,-0.010938882525272252,-0.0072009981490117735,0.9997617929516002,0.0
20.6,1.0,1.794458905086749,-0.011082189826502028,-0.007165365061488781,0.999762757311177,0.0
20.62,1.0,1.7943876125824145,-0.011224774835171064,-0.007129250433451836,0.9997637397903529,0.0
20.64,1.0,1.794316686016323,-0.01136662796735393,-0.0070926566091433435,0.9997647403541339,0.0
20.66,1.0,1.7942461301566741,-0.011507739686652026,-0.00705558596490481,0.9997657589661675,0.0
20.68,1.0,1.7941759497475838,-0.01164810050483249,-0.007018040909023189,0.9997667955887445,0.0
20.7,1.0,1.794106149508768,-0.011787700982463992,-0.006980023881575093,0.9997678501827979,0.0
20.72,1.0,1.7940367341352255,-0.01192653172954937,-0.006941537354268884,0.9997689227079049,0.0
20.740000000000002,1.0,1.7939677082969225,-0.012064583406155063,-0.00690258383028465,0.9997700131222864,0.0
20.76,1.0,1.7938990766384815,-0.012201846723037304,-0.0068631658441120754,0.9997711213828091,0.0
20.78,1.0,1.7938308437788675,-0.012338312442265029,-0.006823285961386218,0.9997722474449852,0.0
20.8,1.0,1.7937630143110803,-0.012473971377839453,-0.006782946778721212,0.9997733912629739,0.0
20.82,1.0,1.793695592801845,-0.012608814396310291,-0.006742150923541889,0.9997745527895829,0.0
20.84,1.0,1.7936285837913057,-0.012742832417388559,-0.006700901053913345,0.9997757319762692,0.0
20.86,1.0,1.7935619917927221,-0.012876016414555928,-0.006659199858368453,0.9997769287731401,0.0
20.88,1.0,1.7934958212921648,-0.013008357415670595,-0.006617050055733344,0.9997781431289552,0.0
20.900000000000002,1.0,1.7934300767482152,-0.013139846503569612,-0.0065744543949508545,0.9997793749911277,0.0
20.92,1.0,1.7933647625916662,-0.013270474816667651,-0.006531415654901959,0.9997806243057261,0.0
20.94,1.0,1.793299883225224,-0.013400233549552155,-0.0064879366442252015,0.9997818910174758,0.0
20.96,1.0,1.7932354430232127,-0.013529113953574838,-0.0064440202011341345,0.9997831750697607,0.0
20.98,1.0,1.7931714463312802,-0.013657107337439493,-0.00639966919323277,0.9997844764046256,0.0
21.0,1.0,1.793107897466107,-0.013784205067786074,-0.0063548865173290725,0.9997857949627781,0.0
21.02,1.0,1.7930448007151145,-0.013910398569771004,-0.006309675099246488,0.9997871306835902,0.0
21.04,1.0,1.7929821603361782,-0.014035679327643675,-0.006264037893633528,0.9997884835051013,0.0
21.06,1.0,1.7929199805573406,-0.014160038885319104,-0.00621797788377143,0.9997898533640202,0.0
21.080000000000002,1.0,1.7928582655765266,-0.014283468846946703,-0.0061714980813798856,0.9997912401957271,0.0
21.1,1.0,1.7927970195612626,-0.01440596087747512,-0.0061246015264208725,0.9997926439342768,0.0
21.12,1.0,1.7927362466483934,-0.014527506703213131,-0.006077291286900587,0.9997940645124012,0.0
21.14,1.0,1.7926759509438068,-0.01464809811238652,-0.006029570458669496,0.9997955018615114,0.0
21.16,1.0,1.7926161365221547,-0.014767726955690931,-0.00598144216522052,0.9997969559117015,0.0
