H_min,DeltaT_s_K,m,RSS,within_approx_95pct_profile,RSS_95pct_threshold
0.279,127.63286181200627,2.1188416370670042,0.05363863411623246,True,0.05872281768199147
0.28,127.50289725389887,2.1197543556329275,0.05365696702027284,True,0.05872281768199147
0.281,127.37288543414239,2.120670689415049,0.05367540310282039,True,0.05872281768199147
0.28200000000000003,127.24282531384922,2.1215907198055657,0.05369394320038096,True,0.05872281768199147
0.28300000000000003,127.11271673796766,2.122514476505447,0.053712588158248364,True,0.05872281768199147
0.28400000000000003,126.98256117940434,2.1234418958935026,0.05373133883063564,True,0.05872281768199147
0.28500000000000003,126.85235677724665,2.1243731092328177,0.05375019608066556,True,0.05872281768199147
0.28600000000000003,126.72210451785742,2.1253080751274287,0.05376916078064341,True,0.05872281768199147
0.28700000000000003,126.59180482279916,2.126246794374573,0.05378823381208116,True,0.05872281768199147
0.28800000000000003,126.46145678253416,2.127189348965042,0.05380741606579739,True,0.05872281768199147
0.289,126.33106100921815,2.128135714364629,0.053826708442124824,True,0.05872281768199147
0.29,126.20061723491246,2.1290859396356216,0.053846111850946746,True,0.05872281768199147
0.291,126.0701259359591,2.130040012855939,0.0538656272118872,True,0.05872281768199147
0.292,125.93958616161757,2.130998019921699,0.05388525545435903,True,0.05872281768199147
0.293,125.80899854817717,2.131959936269017,0.05390499751779427,True,0.05872281768199147
0.294,125.67836349430102,2.132925770436801,0.05392485435170147,True,0.05872281768199147
0.295,125.54768003904204,2.133895602656688,0.0539448269157813,True,0.05872281768199147
0.296,125.41694953768203,2.134869369044247,0.05396491618016723,True,0.05872281768199147
0.297,125.28617026959529,2.1358472108787776,0.05398512312538217,True,0.05872281768199147
0.298,125.15534387019706,2.136829040871737,0.054005448742703535,True,0.05872281768199147
0.299,125.0244688285199,2.1378149821711867,0.05402589403407114,True,0.05872281768199147
0.3,124.89354693110975,2.1388049446333923,0.05404646001245545,True,0.05872281768199147
0.301,124.76257682687775,2.139799032683133,0.05406714770178429,True,0.05872281768199147
0.302,124.63155916419291,2.140797254085603,0.05408795813724071,True,0.05872281768199147
0.303,124.50049360283988,2.141799633603728,0.054108892365361344,True,0.05872281768199147
0.304,124.36937999400504,2.14280620708199,0.05412995144418117,True,0.05872281768199147
0.305,124.23821907969958,2.14381697115464,0.05415113644341697,True,0.05872281768199147
0.306,124.1070105382915,2.144831957137204,0.05417244844458765,True,0.05872281768199147
0.307,123.97575407846956,2.1458512109258794,0.05419388854117698,True,0.05872281768199147
0.308,123.84445052581604,2.1468747115761992,0.054215457838845106,True,0.05872281768199147
0.309,123.71309878805269,2.1479025578513324,0.05423715745548005,True,0.05872281768199147
0.31,123.5816995656931,2.148934727326946,0.05425898852151105,True,0.05872281768199147
0.311,123.45025262977907,2.149971263633566,0.05428095217996088,True,0.05872281768199147
0.312,123.3187588798652,2.1510121324083884,0.05430304958670905,True,0.05872281768199147
0.313,123.18721656917413,2.152057478197107,0.0543252819104989,True,0.05872281768199147
0.314,123.05562747895578,2.153107214708888,0.05434765033338043,True,0.05872281768199147
0.315,122.92399090058967,2.1541614165919367,0.05437015605063573,True,0.05872281768199147
0.316,122.79230690363647,2.1552201043419332,0.054392800271101674,True,0.05872281768199147
0.317,122.66057511302064,2.156283342603171,0.05441558421728636,True,0.05872281768199147
0.318,122.52879625926283,2.1573511001374235,0.054438509125660374,True,0.05872281768199147
0.319,122.39697057857981,2.158423389239915,0.054461576246747266,True,0.05872281768199147
0.32,122.26509726955767,2.1595002930217286,0.054484786845297485,True,0.05872281768199147
0.321,122.1331761148042,2.16058187570767,0.05450814220054512,True,0.05872281768199147
0.322,122.00120845908648,2.1616680570798574,0.054531643606513705,True,0.05872281768199147
0.323,121.8691933630283,2.1627589383921517,0.05455529237196878,True,0.05872281768199147
0.324,121.73713134658561,2.163854509168237,0.05457908982084795,True,0.05872281768199147
0.325,121.60502201086861,2.1649548363704554,0.05460303729232491,True,0.05872281768199147
0.326,121.47286542594264,2.1660599438729076,0.05462713614111944,True,0.05872281768199147
0.327,121.34066211179504,2.167169820636751,0.054651387737708945,True,0.05872281768199147
0.328,121.20841149457293,2.1682845493711107,0.054675793468442355,True,0.05872281768199147
0.329,121.07611443050021,2.169404091515266,0.05470035473594531,True,0.05872281768199147
0.33,120.94376995608819,2.170528558326,0.05472507295911817,True,0.05872281768199147
0.331,120.811378843454,2.1716579212020513,0.054749949573615106,True,0.05872281768199147
0.332,120.67894119068856,2.172792207201788,0.05477498603191293,True,0.05872281768199147
0.333,120.54645640379124,2.1739314965035152,0.05480018380355077,True,0.05872281768199147
0.334,120.41392512078777,2.175075765895986,0.0548255443755141,True,0.05872281768199147
0.335,120.28134694297809,2.176225087155317,0.054851069252301286,True,0.05872281768199147
0.336,120.1487222225608,2.1773794787606353,0.05487675995630955,True,0.05872281768199147
0.337,120.01605085945023,2.1785389647028754,0.05490261802804593,True,0.05872281768199147
0.338,119.88333333637704,2.179703551389458,0.05492864502639705,True,0.05872281768199147
0.339,119.75056934310773,2.180873298199876,0.05495484252883403,True,0.05872281768199147
