pressure_kpa,T_sat_C,DeltaT_MFB_Berenson_K,T_MFB_Berenson_C,T_MFB_Henry_Cu_C
62.71689497716895,87.06641225971407,59.54205427407952,146.6084665337936,164.0861412353896
63.214611872146115,87.27083769197037,59.92260766354981,147.19344535552017,164.71323662321694
63.71232876712328,87.47392298718546,60.30245387565978,147.77637686284524,165.33802836832646
64.21004566210046,87.67568748439294,60.68159852420865,148.3572860086016,165.960544807598
64.70776255707761,87.87615009530481,61.060047135336525,148.93619723064134,166.58081369278077
65.20547945205479,88.07532931697,61.43780514956142,149.51313446653143,167.19886220716958
65.70319634703196,88.27324324396488,61.814877923752405,150.0881211677173,167.8147169816745
66.20091324200912,88.46990958013498,62.19127073304207,150.66118031317706,168.42840411031543
66.6986301369863,88.665345649909,62.566988772683096,151.2323344225921,169.03994916517047
67.19634703196347,88.85956840920306,62.942037159846564,151.80160556904963,169.64937721078974
67.69406392694063,89.05259445593333,63.31642093536809,152.36901539130142,170.25671281811034
68.1917808219178,89.24444004015356,63.690145065443716,152.93458510559728,170.86198007788983
68.68949771689498,89.4351210738335,64.06321444327277,153.49833551710628,171.46520261366743
69.18721461187214,89.62465314029407,64.43563389065537,154.06028703094944,172.06640359429164
69.68493150684931,89.81305150331286,64.80740815954283,154.6204596628557,172.6656057460164
70.18264840182648,90.0003311159141,65.17854193354324,155.17887304945734,173.26283136419082
70.68036529680364,90.18650662885665,65.54903982938555,155.7355464582422,173.8581023245585
71.17808219178082,90.37159239883158,65.91890639833976,156.29049879717132,174.45144009417837
71.67579908675799,90.55560249638188,66.28814612759976,156.84374862398164,175.0428657419891
72.17351598173515,90.73855071355518,66.65676344162475,157.39531415517993,175.63239994902239
72.67123287671232,90.92045057130099,67.02476270344746,157.94521327474845,176.22006301828904
73.1689497716895,91.1013153266212,67.39214821594068,158.49346354256187,176.80587488434065
73.66666666666666,91.28115797948573,67.75892422305617,159.0400822025419,177.3898551225289
